Quarter,Inventory Bldgs,Inventory SF,Vacant SF Direct,Vacant SF Sublet,Vacant SF Total,Vacant Percent % Direct,Vacant Percent % Sublet,Vacant Percent % Total,Total Available SF Direct,Total Available SF Sublet,Total Available SF Total,Total Available Percent % Direct,Total Available Percent % Sublet,Total Available Percent % Total,Vacant Available SF Direct,Vacant Available SF Sublet,Vacant Available SF Total,Vacant Available Percent % Direct,Vacant Available Percent % Sublet,Vacant Available Percent % Total,Occupancy SF,Occupancy %,Net Absorption SF Direct,Net Absorption SF Sublet,Net Absorption SF Total,Gross Absorption SF Direct,Gross Absorption SF Sublet,Gross Absorption SF Total,Leasing Activity Deals Direct,Leasing Activity Deals Sublet,Leasing Activity Deals Total,Leasing Activity SF Direct,Leasing Activity SF Sublet,Leasing Activity SF Total,Deliveries Bldgs,Deliveries SF,Under Construction Bldgs,Under Construction SF,Office Gross Rent Direct,Office Gross Rent Sublet,Office Gross Rent Overall,Office Base Rent Direct,Office Base Rent Sublet,Office Base Rent Overall
QTD,3802,560246957,40138218,4758064,44896119,7.2,0.8,8,56743747,10678271,67420691,9.9,1.9,11.7,33682922,4259592,37942514,6,0.8,6.8,515350838,92,771947,131333,903280,6335119,1488070,7681458,221,28,249,989151,96765,1085916,0,0,29,15532985,65.97,46.33,65.85,64.13,46.5,61.89
2017 Q2,3802,560246957,40910165,4889397,45799399,7.3,0.9,8.2,57875010,11353112,69226795,10.1,2,12,34064709,4365089,38429798,6.1,0.8,6.9,514447558,91.8,-56572,-416297,-472706,6021198,2172102,7872025,947,207,1154,7608038,1336096,8944134,2,244412,29,15532985,64.78,46.49,64.65,63.56,47.07,61.53
2017 Q1,3802,560025653,40632289,4473100,45105389,7.3,0.8,8.1,57946015,10371606,68317621,10.1,1.8,11.9,34992778,3910942,38847399,6.2,0.7,6.9,514920264,91.9,-481034,-361798,-842832,6539839,1919828,8299512,824,175,999,7442860,1209578,8652438,0,0,31,15777397,65.6,46.93,65.41,63.8,46.79,61.71
2016 Q4,3806,560633226,40755460,4114670,44870130,7.3,0.7,8,58571838,9409357,67981195,10.2,1.6,11.8,36385849,3517753,39834140,6.5,0.6,7.1,515763096,92,1476036,-294268,1181768,7566943,1437516,9004459,942,180,1122,8121919,1684278,9806197,1,450000,28,15577023,65.69,46.87,65.46,63.63,46.9,61.47
2016 Q3,3806,560656226,42254496,3820402,46074898,7.5,0.7,8.2,58862561,8634853,67497414,10.2,1.5,11.7,36499410,3383602,39883012,6.5,0.6,7.1,514581328,91.8,-846630,-86843,-933473,5683116,1568178,7251294,961,193,1154,8072169,1653604,9725773,2,126643,26,14190897,65.26,51.17,65.12,62.84,49.85,60.65
2016 Q2,3809,560580606,41332246,3733559,45065805,7.4,0.7,8,56778499,7765184,64543683,9.9,1.4,11.2,34593565,3174779,37761159,6.2,0.6,6.7,515514801,92,1290492,327181,1617673,8105675,1928566,10034241,1138,202,1340,10924508,1341105,12265613,1,1813159,25,13920258,60.38,51.33,60.28,63.09,49.88,60.76
2016 Q1,3815,558884634,40926766,4060740,44987506,7.3,0.7,8,53842261,7748969,61610132,9.4,1.4,10.8,33953572,3462767,37408654,6.1,0.6,6.7,513897128,92,-1733167,-509216,-2242383,7027146,1904899,8932045,1030,169,1199,8361443,1345303,9706746,1,12734,22,13470185,59.92,49.13,59.59,58.43,46.26,56.44
2015 Q4,3819,559602980,39911945,3551524,43463469,7.1,0.6,7.8,53687948,7731699,61419647,9.4,1.3,10.7,32057797,2590498,34634610,5.7,0.5,6.2,516139511,92.2,-72725,-219677,-292402,7451269,1829186,9280455,987,161,1148,9231466,1480479,10711945,1,98087,21,13322462,59.87,47.06,59.63,58.01,46.1,56.16
2015 Q3,3836,562081154,42317394,3331847,45649241,7.5,0.6,8.1,53515824,7906309,61360394,9.3,1.4,10.7,31864022,2586431,34429568,5.7,0.5,6.1,516431913,91.9,-1308091,147031,-1161060,6400511,2216107,8616618,1021,185,1206,7247810,1556906,8804716,2,89442,20,13197971,59.85,50.72,59.76,58.17,48.76,56.44
2015 Q2,3845,563450666,42378815,3478878,45857693,7.5,0.6,8.1,54437051,8138592,62559212,9.5,1.4,10.9,32095145,2505533,34586993,5.7,0.4,6.1,517592973,91.9,-289120,214916,-74204,7508987,1860068,9369055,1177,192,1369,9388454,1638328,11026782,1,473672,19,12453728,58.38,51.21,58.27,56.68,49.35,55.25
2015 Q1,3857,563471271,42110300,3693794,45804094,7.5,0.7,8.1,52089325,8425854,60498748,9.1,1.5,10.6,32307894,2845930,35140139,5.7,0.5,6.2,517667177,91.9,-1129313,-19084,-1148397,6458117,1966031,8424148,1080,219,1299,8520107,2037831,10557938,1,21308,16,6548425,57.01,49.2,56.9,55.54,48.36,54.26
2014 Q4,3875,564282250,41791966,3674710,45466676,7.4,0.7,8.1,49971553,8602957,58574510,8.8,1.5,10.3,31435217,2852837,34271369,5.6,0.5,6.1,518815574,91.9,2772882,202419,2975301,9626971,1562990,11189961,1111,198,1309,9463913,1571428,11035341,2,3255878,15,6300465,55.98,46.64,55.85,54.73,45.55,54.03
