Deal ID,Property ID,Status,Type,Market,Date,Distance,Property Name,Address,City,State,Country,Postal Code,sf,Yr Built,Yr Renov,# Bldgs,# Floors,Land Area (acres),Occupancy,Prop/Deal,Price ($),Currency,$/sf,Price Qualifier,Partial Interest,Partial Inv Vol ($),Cap Rate,Cap Rate Qualifier,Buyer,Buyer's Broker,Seller,Seller's Broker,Lender,Buildable Area in (sf),$/Buildable sf,Comments or Notes,Latitude,Longitude,County,Submarket,MSA,CBSA,APN,Deed,Beds
1961910,1710966,Sale - Pending,Office,Manhattan,7/24/17,,Tower 270 (1F-7F),86 Chambers St,New York,NY,United States,10007,114111,1930,2016,1,28,,0.97,1 of 1,67000000,$,587,approx,,67000000,0.048,next yr,TH Real Estate,,"TAIB Bank, AION Partners, DCD Group",Colliers International,,,,"97% occ.;Office - CBD property; street retail (7,000 sf); Tenants: GSA - Attorney General, Chase Bank; prior sale: May-04 ($35.8m); condo ;",40.7144168,-74.0072617,,Downtown,5600,35620,"01351201, 01351289, 01351290, 01351291",,
1961296,1710166,Sale - Pending,Office,Manhattan,6/20/17,,One Astor Plaza,1515 Broadway,New York,NY,United States,10036,1750000,1972,2010,1,54,2,,1 of 1,2000000000,$,1143,rumor,Minority,980000000,0.039,next yr,China Investment Corp,,SL Green,Cushman & Wakefield,BWAY 2013-1515 ($881m approx),,,"Office - CBD property; Tenants: Viacom (HQ), Syska Hennessey, Wilk Auslander, Aeropostale (Intends to Vacate), Oakley; prior sale: Apr-11 ($1,210.0m); partial interest (49%); buyer assumed mtg; seller retained interest;",40.7578505,-73.9866898,,Midtown West,5600,35620,10160036,,
1988723,1716996,Sale,Office,Manhattan,6/1/17,,Worldwide Plaza,825 Eighth Ave,New York,NY,United States,10019,2055583,1989,,1,47,1.33,1,1 of 1,1400000000,$,681,approx,Minority,698600000,0.0628,quoted,NY REIT,,"DRA Advisors, George Comfort & Sons, RCG Longview, Feil Organization",,COMM 2013-WWP ($710m approx),,,"100% occ.;Office - CBD property; street retail (125,000 sf); Tenants: Nomura Asset Cap Corp (HQ), Cravath Swaine, WNET; prior sale: Oct-13 ($1,325.0m); partial interest (49.9%); Mercury Parking leases garage until 2027; buyer assumed mtg; seller retained interest; exercise pre-agreed purchase option;",40.7622227,-73.986943,,Midtown West,5600,35620,"10400029, 10401001, 10401002, 10401004, 10401005, 10401006, 10401009, 10401011, 10401013, 10401014, 10401010, 10401018, 10401130, 10401316, 10401333, 10407501, 10401502",,
1958386,1706436,Sale,Office,Manhattan,5/24/17,,85 Broad Street,85 Broad St,New York,NY,United States,10004,1118512,1983,2015,1,30,1.333173,0.87,1 of 1,652000000,$,583,confm'd,,652000000,0.039,in place,"Ivanhoe Cambridge, Callahan Cap Prtnrs",,"Beacon Capital Partners, MetLife RE Investors",Eastdil Secured,CSAIL 2017-C8 ($269m approx),,,"87% occ.;Office - CBD property; street retail; Tenants: WeWork, Oppenheimer & Co, Nielsen, Vox Media, Popular; prior sale: Nov-14 ($350.0m);",40.7039915,-74.0110917,,Downtown,5600,35620,"01361401, 00290001",0000205680,
1928273,1538878,Sale,Office,Manhattan,5/5/17,,245 Park Avenue,245 Park Ave,New York,NY,United States,10167,1723993,1965,2006,1,44,0.0887,0.91,1 of 1,2210000000,$,1282,confm'd,,2210000000,0.052175539,unwrtn,HNA Group,,"Brookfield Prop Prtnrs, Clarion Partners, NYSTRS",CBRE,"CSAIL 2017-C8 ($453m approx), JPMCC 2017-JP6 ($453m approx), WF 2017-C38 ($453m approx), PRKAV 2017-245P ($453m approx), JP Morgan ($453m approx), DBJPM 2017-C6 ($453m approx)",,,"91% occ.;Office - CBD property; street retail (59,379 sf); Tenants: Société Générale, JPMorgan Chase Bank, N.A., Major League Baseball, Angelo, Gordon & Co., L.P., Rabobank Nederland; prior sale: Aug-03 ($894.0m);",40.7545475,-73.9745088,,Midtown East,5600,35620,"13010001, 01301-0001",000179764; 0000179769,
2006513,1823054,Sale,Office,Manhattan,4/14/17,,1200 6th Avenue,1200 6th Ave,New York,NY,United States,10036,21600,1960,2000,1,6,0.06815886,0.7,1 of 1,43100000,$,1995,confm'd,,43100000,,private,TA Realty,,Apple Core Holdings,CBRE,,,,"70% occ.;Office - CBD property; street retail; Tenants: Pret A Manger, Malidani Jewelrey Corporation; 22,300 sqft of air rights included;",40.7580858,-73.9814522,,Midtown West,5600,35620,"01263-0001, 12630001",0000161791,
1987437,1714764,Sale,Office,Manhattan,4/5/17,,95 Morton Street,95 Morton St,New York,NY,United States,10014,217084,1911,2000,1,8,0.4591368,1,1 of 1,205961801,$,949,confm'd,,205961801,0.049,next yr,RFR Realty,,Brickman Associates,CBRE,CD 2017-CD4 ($95m approx),,,"100% occ.;Office - CBD property; Tenants: Paypal, Integral Ad Science, VSA Partners, Xerox; prior sale: Nov-08 ($96.5m);",40.7313013,-74.0085243,,Midtown South,5600,35620,06030028,00014593,
1898482,1527829,Sale,Office,Manhattan,1/13/17,,Deutsche Bank HQ,60 Wall St,New York,NY,United States,10005,1612000,1988,,1,47,1.23122,1,1 of 1,1040000000,$,645,confm'd,Majority,988000000,0.055,next yr,GIC,,"Paramount Group (REIT), Morgan Stanley",HFF,Aareal Bank ($575m approx),,,"100% occ.;Office - CBD property; street retail; Tenants: single tenant -- Deutsche Bank (HQ); prior sale: Apr-07 ($1,180.0m); partial interest (95%); seller retained interest; Paramount will continue to serve as the property manager.;",40.7061677,-74.0083195,,Downtown,5600,35620,00400003,0000040131          ; 0000040129,
1965753,1690017,Sale,Office,Manhattan,12/1/16,,85 Tenth Avenue,85 10th Ave,New York,NY,United States,10011,632584,1913,2002,1,11,1.05,0.95,1 of 1,835000000,$,1320,apprsl,Minority,416665000,0.044249325,unwrtn,Vornado,,Related Cos,,"CD 2017-CD3 ($271m approx), BACM 2017-BNK3 ($271m approx), DBWF 2016-85T ($271m approx)",,,"95% occ.;Office - CBD/tech/telecom/data center property; street retail (3,000 sf); Tenants: Google, GSA, Level 3 Communications, Telehouse America, LVMH; prior sale: May-07 ($430.0m); partial interest (49.9%); seller retained interest;",40.7432086,-74.0079542,,Midtown West,5600,35620,06870029,2016000433953; 0000433953          ; 0000433952,
1925917,1535366,Sale,Office,Manhattan,10/6/16,,145 E 125th Street,2071-2083 Lexington Ave,New York,NY,United States,10035,35970,1900,1989,1,6,0.1376263,1,1 of 1,27000000,$,751,confm'd,,27000000,0.0428,next yr,BLDG Management,,K5 Equities,Cushman & Wakefield,M&T Bank ($14m approx),,,"100% occ.;Office - CBD property; street retail (4,400 sf); Tenants: The Salvation Army, Dunkin Donuts, Franklin Check Cashing, McDonalds;",40.8046196,-73.9369345,,Upper Manhattan,5600,35620,"017740020, 17740020",000370532,
1868353,1511003,Sale,Office,Manhattan,8/19/16,,275 Madison Avenue,275 Madison Ave,New York,NY,United States,10016,305849,1931,2004,1,43,0.3022268,0.91,1 of 1,273000000,$,893,confm'd,,273000000,0.037,quoted,RPW Group,JLL,RFR Realty,JLL,SL Green ($225m approx),,,"91% occ.;Office - CBD property; Tenants: Cushman & Wakefield, Romer Debbas LLP;",40.7512258,-73.9799875,,Midtown East,5600,35620,08690054,000323449,
